Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,Left Eyebrow to Eye Height,Right Eyebrow to Eye Height,MouthHeight,
Neutral,13.000000,12.165525,16.552945,16.155494,56.612719,48.373546,33.527442,
Neutral,14.035669,14.035669,16.763055,18.027756,56.612719,49.254441,35.013672,
Neutral,14.000000,13.038405,18.384776,17.088007,56.612719,48.373546,34.048240,
Neutral,13.000000,14.035669,16.763055,17.464249,56.612719,49.365980,34.514322,
Neutral,13.000000,13.038405,18.027756,18.973666,56.400355,48.373546,35.539364,
Neutral,15.000000,14.035669,21.023796,22.472205,69.202601,59.008474,34.600937,
Neutral,13.038405,13.038405,17.888544,18.681542,55.443665,50.635956,35.699773,
Neutral,11.045361,11.180340,19.235384,20.248457,60.216277,57.706152,36.592633,
Neutral,11.000000,13.038405,15.231546,16.492423,60.207973,58.463664,36.419721,
Neutral,10.049876,12.165525,16.155494,16.124515,60.745370,59.439044,36.432102,
Neutral,11.000000,12.041595,15.811388,15.297059,60.745370,57.489129,37.624033,
Neutral,12.041595,13.152946,15.811388,15.524175,61.294372,58.249464,37.595862,
Neutral,12.165525,14.000000,17.720045,16.278821,60.605280,50.803543,38.889696,
Neutral,14.142136,13.000000,16.278821,17.088007,55.470713,47.265209,34.581293,
Neutral,14.035669,14.000000,15.297059,16.552945,53.535035,46.097722,32.395543,
Neutral,14.035669,14.000000,16.278821,15.811388,51.865210,44.283180,33.474790,
Neutral,13.000000,15.000000,16.278821,17.464249,54.918121,44.181444,33.988233,
Neutral,15.033296,14.035669,16.763055,16.155494,53.600373,44.283180,32.929125,
Neutral,14.035669,14.035669,15.524175,17.088007,54.037024,44.407207,33.494386,
Neutral,14.035669,14.035669,16.763055,16.763055,54.671748,43.566042,35.000000,
Neutral,15.000000,14.142136,18.027756,16.763055,54.671748,45.705580,33.994948,
Neutral,13.038405,13.152946,18.027756,16.763055,56.080300,45.398238,33.000000,
Happy,13.000000,14.000000,19.646883,18.027756,55.605755,44.553339,46.000000,
Happy,13.038405,14.142136,18.027756,18.027756,54.037024,42.296572,46.000000,
Happy,14.000000,13.152946,18.027756,19.313208,54.671748,44.181444,46.000000,
Happy,13.000000,14.142136,18.681542,17.464249,52.497619,41.303753,45.986114,
Happy,13.038405,13.152946,17.720045,18.973666,53.907328,43.416587,45.000000,
Happy,14.000000,14.142136,18.681542,18.384776,52.630789,42.296572,45.000000,
Happy,13.000000,13.038405,18.027756,18.384776,52.630789,42.426407,46.000000,
Happy,12.041595,13.038405,17.088007,18.027756,53.907328,42.426407,46.000000,
Happy,14.035669,13.038405,18.973666,18.384776,55.317267,44.407207,45.502561,
Happy,13.038405,13.000000,18.973666,18.973666,54.671748,44.407207,46.000000,
Happy,12.000000,13.152946,17.720045,18.384776,54.817880,43.185646,46.494398,
Happy,13.000000,14.142136,17.720045,18.384776,54.037024,43.104524,47.000000,
Happy,14.035669,14.142136,18.973666,18.973666,54.561891,43.566042,46.498367,
Happy,13.038405,13.038405,18.027756,18.973666,53.150729,43.566042,47.480141,
Happy,14.035669,15.132746,18.027756,19.313208,54.488531,42.426407,46.990860,
Surprised,17.117243,17.117243,16.492423,17.720045,56.400355,46.690470,36.011889,
Surprised,17.029386,17.029386,15.811388,16.492423,55.443665,45.541190,36.011889,
Surprised,18.000000,17.117243,16.492423,17.720045,54.817880,45.705580,35.503006,
Surprised,17.000000,17.029386,16.492423,16.492423,52.801515,45.541190,35.012156,
Surprised,16.031220,17.117243,16.763055,16.763055,55.000000,45.398238,34.540175,
Surprised,16.000000,17.117243,16.492423,16.492423,54.405882,45.705580,35.994461,
Surprised,16.031220,16.278821,15.524175,16.763055,53.413481,45.541190,35.020791,
Surprised,16.031220,17.262677,15.524175,17.088007,53.413481,45.398238,35.503006,
Surprised,16.000000,17.117243,16.492423,16.492423,54.203321,44.407207,35.527044,
Surprised,16.000000,15.132746,15.524175,16.492423,54.037024,45.541190,34.503043,
Surprised,16.124515,16.124515,15.297059,16.763055,53.263496,43.737855,34.511739,
Surprised,16.031220,17.262677,15.524175,16.492423,53.413481,44.553339,34.038331,
Surprised,17.000000,17.117243,15.524175,16.763055,54.037024,43.566042,35.000000,
Surprised,17.029386,17.117243,14.317821,17.720045,53.263496,44.553339,34.507444,
Surprised,16.000000,17.029386,16.492423,17.720045,53.600373,44.721360,35.020791,
Surprised,16.031220,17.117243,16.492423,16.763055,54.203321,44.553339,35.003403,
Surprised,16.031220,15.033296,15.524175,16.492423,53.413481,45.541190,35.507406,
Surprised,16.124515,16.124515,16.492423,16.763055,54.037024,45.398238,35.012038,
Surprised,16.000000,17.029386,16.492423,17.720045,54.037024,44.553339,34.507444,
Surprised,16.031220,17.117243,16.278821,17.720045,53.413481,43.566042,34.507444,
Surprised,15.000000,16.124515,16.492423,18.027756,49.517674,39.812058,35.485883,
Surprised,16.031220,15.297059,15.524175,18.027756,49.517674,40.607881,35.000000,
Surprised,17.029386,17.117243,16.492423,17.720045,50.990195,39.812058,35.507301,
Surprised,15.000000,14.035669,19.313208,17.720045,64.660653,60.406953,33.494136,
Surprised,14.000000,14.142136,17.720045,18.681542,65.513357,60.299254,34.461754,
Surprised,13.038405,15.132746,17.720045,16.763055,64.660653,59.211485,33.494136,
Surprised,14.000000,13.038405,17.720045,17.088007,64.140471,61.204575,34.000000,
Surprised,14.035669,14.035669,17.720045,15.811388,64.660653,59.413803,33.489737,
Surprised,14.000000,14.035669,17.464249,16.763055,63.285069,59.304300,34.489697,
Neutral,10.000000,11.045361,20.248457,19.924859,63.890531,52.038447,41.502672,
Neutral,8.000000,9.055385,20.615528,19.924859,66.219333,57.078893,39.506780,
Neutral,7.071068,9.000000,20.248457,18.384776,65.802736,56.142675,40.000000,
Neutral,11.000000,13.341664,17.088007,18.027756,54.561891,44.407207,35.498725,
Neutral,12.041595,12.165525,18.027756,17.720045,55.317267,46.389654,36.490215,
Neutral,12.041595,12.041595,17.464249,17.720045,55.226805,44.553339,36.000000,
Neutral,11.000000,12.165525,18.027756,18.681542,55.973208,46.389654,36.475806,
